codsector,year,valdivia,launion,riobueno,paillaco,panguipulli,mariquina,restocomunas
B,2017,7355.41207,2896.902897,1241.398904,157.7579711,291.5486396,228.8754531,2254.234742
C,2017,168183.3781,509248.5224,3800.204692,2430.941173,7597.802533,4662.792611,13703.40504
D,2017,892.4402272,0,6430.108537,14723.30386,472.3787675,457.7268609,1910.710671
E,2017,7982.523613,179.3212873,326.2735926,2250.203058,264.7531998,159.4838826,2535.952624
F,2017,86740.49411,7187.895184,4700.939304,2079.364077,29363.05053,4478.573545,18997.33161
G,2017,188822.308,20944.68938,99368.79874,20620.41642,24928.43676,11504.50845,46941.36809
H,2017,29276.67235,16329.81231,1647.327933,3174.865172,17532.28406,1673.368174,6285.576244
I,2017,29755.99951,1888.799848,1181.341053,968.4316337,3020.652002,1319.428701,2708.165302
J,2017,89809.28982,342.1643586,166.2073292,605.6848725,503.4937847,70.61209854,1893.388169
K,2017,8819.760118,304.2455007,151.7061196,25818.05919,100607.0284,580.2269198,2487.838104
L,2017,38164.09335,812.9027683,290.5342286,888.6436756,13131.95479,38.07461358,586.0509815
M,2017,11212.73248,926.5367659,564.1785288,369.2244369,1525.025332,469.7183128,947.3121054
N,2017,15167.72397,3211.718438,1473.78072,172.881606,331.9409904,594.1860518,2260.556265
O,2017,18.47132888,76.73417618,49.01825651,44.36517792,65.19978291,32.38241806,86.83339286
P,2017,27590.94817,2063.765633,1119.724337,1235.932624,559.381018,655.6776251,4409.615271
Q,2017,36831.75074,572.5699672,250.7335225,251.9416101,1772.753756,246.9700364,194.8135127
R,2017,2500.894441,167.6371675,101.4292467,91.66016166,86.55619176,65.50541772,9255.076373
S,2017,6602.82541,813.3483843,475.0620045,259.4675462,1338.713813,588.0071009,980.9484504
